year,state,lat,lng,population
2010,Joe Bolkcom,42.011539,-93.210526,82200.00
2005,Joe Bolkcom,42.011539,-93.210526,90682.00
2010,Kevin Kinney,41.12537,-98.268082,325783.88
2005,Kevin Kinney,41.12537,-98.268082,64330.13
2010,Zach Wahls,38.5266,-96.726486,9150.00
2005,Zach Wahls,38.5266,-96.726486,219300.20
2010,Dave Jacoby,,,47068.69
2005,Dave Jacoby,,,4254.31
2010,Bobby Kaufmann,,,80720.03
2005,Bobby Kaufmann,,,77803.95
2010,Vicki Lensing,,,10435.59
2005,Vicki Lensing,,,10995.00
2010,Mary Mascher,,,19300.00
2005,Mary Mascher,,,30923.40
2010,Amy Nielsen,,,10050.00
2005,Amy Nielsen,,,17777.40